SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,15417 Van Lodensteyn Unit Residence 1 HS 38,San Diego,CA,92127,1334900,4,3.5,Rancho Bernardo,2289,,2022,12,583,240,Active,,,https://www.redfin.com/CA/San-Diego/15417-Van-Lodensteyn-92127/unit-Residence-1-HS-38/home/181423069,SDMLS,220022761,N,Y,32.98856748558,-117.106266571045
MLS Listing,,Single Family Residential,9438 La Jolla Farms Rd,La Jolla,CA,92037,19600000,5,6.0,92037 - La Jolla,7509,55321,2016,12,2610,,Active,,,https://www.redfin.com/CA/La-Jolla/9438-La-Jolla-Farms-Rd-92037/home/4862116,CRMLS,NDP2209161,N,Y,32.8768729,-117.2460708
MLS Listing,,Vacant Land,Ruette Nice,La Jolla,CA,92037,4500000,0,,La Jolla,,15314,,12,,456,Active,,,https://www.redfin.com/CA/LA-JOLLA/RUETTE-NICE-92037/home/22650123,SDMLS,220022753,N,Y,32.863768,-117.248854
MLS Listing,,Townhouse,3440 Lebon Dr #4113,San Diego,CA,92122,499000,1,1.0,University City,535,52366,2006,12,933,325,Active,September-17-2022 12:00 PM,September-17-2022 03:00 PM,https://www.redfin.com/CA/San-Diego/3440-Lebon-Dr-92122/unit-4113/home/6698534,SDMLS,220022736,N,Y,32.8678695,-117.2254004
MLS Listing,,Townhouse,17559 Matinal Rd #14,Rancho Bernardo (san Diego),CA,92127,825000,3,2.5,92127 - Rancho Bernardo,1240,168756,1972,12,665,399,Active,,,https://www.redfin.com/CA/San-Diego/17559-Matinal-Rd-92127/unit-14/home/4230609,CRMLS,PW22191366,N,Y,33.0305664,-117.0837178
MLS Listing,,Single Family Residential,5665 Lord Cecil St,San Diego,CA,92122,1399000,4,2.0,University City,1569,7000,1962,12,892,,Active,September-18-2022 01:00 PM,September-18-2022 04:00 PM,https://www.redfin.com/CA/San-Diego/5665-Lord-Cecil-St-92122/home/6277527,SDMLS,220022734,N,Y,32.8458243,-117.2247803
MLS Listing,,Single Family Residential,643 Bonair St,La Jolla,CA,92037,2650000,3,3.0,92037 - La Jolla,1820,5812,1932,12,1456,,Active,,,https://www.redfin.com/CA/La-Jolla/643-Bonair-St-92037/home/4916334,CRMLS,NDP2209150,N,Y,32.8308255,-117.2741101
MLS Listing,,Single Family Residential,16778 Santanella St,San Diego,CA,92127,2088600,5,4.0,Rancho Bernardo,3540,,2002,12,590,115,Active,,,https://www.redfin.com/CA/San-Diego/16778-Santanella-St-92127/home/6267716,SDMLS,220022722,N,Y,33.0107456,-117.1058388
MLS Listing,,Single Family Residential,4620 Normandie Pl,La Mesa,CA,91942,799000,4,2.0,La Mesa,1648,8700,1963,12,485,,Active,,,https://www.redfin.com/CA/La-Mesa/4620-Normandie-Pl-91942/home/5484218,SDMLS,220022668,N,Y,32.7628967,-117.0448595
MLS Listing,,Condo/Co-op,8587 Via Mallorca Unit D,La Jolla,CA,92037,899000,2,2.0,La Jolla,1359,,1996,13,662,441,Active,,,https://www.redfin.com/CA/La-Jolla/8587-Via-Mallorca-92037/unit-D/home/4868620,SDMLS,220022661,N,Y,32.862636,-117.2321359
